Response ID,Time,CONSENTIMIENTO INFORMADO ,PBAT1,PBAT2,PBAT3,PBAT4,PBAT5,PBAT6,PBAT7,PBAT8,PBAT9,PBAT10,PBAT11,PBAT12,PBAT13,PBAT14,PBAT15,PBAT16,PBAT17,PBAT18,STOP1,STOP2,STOP3,STOP4,STOP5,HEALTH,VITAL1,VITAL2,VITAL3,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,Sexo,Grupo de edad,Clase Social,Ingresos Mensuales en el Hogar,Ocupación,Tamaño del Municipio,Nivel de estudios,Provincia,CCAA,Región,Áreas Nielsen
44,12/3/24,ACEPTO,83,14,51,25,91,76,100,84,0,64,93,20,57,28,61,90,19,19,6,18,10,4,11,Buena,69,83,87,67,22,74,0,77,10,Hombre,De 35 a 44 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Vizcaya,Pais Vasco,Norte,Norte
45,12/3/24,ACEPTO,60,33,61,54,55,65,44,56,53,55,55,42,54,44,57,56,54,44,45,44,54,52,45,Buena,51,55,54,53,46,53,52,59,37,Hombre,De 25 a 34 años,2-Media,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Santa Cruz De Tenerife,Canarias,Sur,Canarias
46,12/3/24,ACEPTO,89,0,50,50,50,50,50,79,0,50,50,9,78,0,60,61,13,0,2,19,32,21,0,Excelente,50,50,50,76,5,50,50,69,0,Hombre,De 35 a 44 años,2-Media,2-De 1.800 a 3.000 €,1-Trabaja,De 50.000 a 200.000 hab,Superiores,Madrid,Madrid,Centro,Centro
47,12/3/24,ACEPTO,94,74,50,19,50,86,91,71,60,50,68,81,50,68,63,69,16,24,16,22,21,23,9,Muy buena,82,82,69,85,0,89,17,89,0,Hombre,De 35 a 44 años,2-Media,1-Menos de 1.800 €,1-Trabaja,De 50.000 a 200.000 hab,Medios,Madrid,Madrid,Centro,Centro
48,12/3/24,ACEPTO,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Buena,50,50,50,50,50,50,50,51,50,Mujer,De 65 a 75 años,2-Media,4-Prefiero no responder,1-Trabaja,De 50.000 a 200.000 hab,Medios,"Palmas, Las",Canarias,Sur,Canarias
49,12/3/24,ACEPTO,58,7,17,20,24,44,42,43,50,50,38,39,28,37,36,41,12,28,42,44,58,59,50,Buena,87,79,73,66,70,75,69,85,76,Mujer,De 65 a 75 años,2-Media,2-De 1.800 a 3.000 €,1-Trabaja,Más de 200.000 hab,Básicos,Madrid,Madrid,Centro,Centro
50,12/3/24,ACEPTO,70,0,100,70,10,80,60,100,30,65,50,10,85,0,65,100,30,0,50,100,100,35,50,Regular,70,60,45,70,10,100,35,100,10,Mujer,De 18 a 24 años,1-Alta,4-Prefiero no responder,No trabaja,Más de 200.000 hab,Medios,Valencia,C. Valenciana,Este,Levante
52,12/3/24,ACEPTO,85,10,85,7,15,90,10,85,5,90,80,5,90,10,80,95,5,15,0,15,0,0,0,Excelente,80,90,95,90,5,80,5,90,10,Hombre,De 55 a 64 años,1-Alta,3-Más de 3.000 €,1-Trabaja,1-Menos de 50.000 hab,Superiores,Alicante,C. Valenciana,Este,Levante
53,12/3/24,ACEPTO,80,10,83,5,40,70,20,90,70,85,75,15,85,15,60,90,25,10,10,20,30,10,0,Excelente,85,85,80,90,21,75,20,80,10,Mujer,De 25 a 34 años,1-Alta,4-Prefiero no responder,1-Trabaja,Más de 200.000 hab,Superiores,Valencia,C. Valenciana,Este,Levante
54,12/3/24,ACEPTO,86,16,77,14,57,79,49,73,33,50,50,60,64,70,37,77,24,50,36,61,82,65,34,Regular,30,26,33,50,64,58,39,51,50,Hombre,De 25 a 34 años,1-Alta,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Zaragoza,Aragón,Noreste,Noreste
55,12/3/24,ACEPTO,61,37,51,64,40,59,45,58,49,60,55,66,47,63,62,45,55,47,45,44,44,43,45,Regular,60,54,59,64,55,60,58,64,55,Hombre,De 45 a 54 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Granada,Andalucía,Sur,Sur
56,12/3/24,ACEPTO,54,93,57,52,45,24,52,48,50,50,51,52,53,53,49,53,46,52,68,80,66,49,68,Buena,58,55,50,48,52,55,55,49,54,Mujer,De 18 a 24 años,3-Baja,1-Menos de 1.800 €,No trabaja,1-Menos de 50.000 hab,Medios,Álava,Pais Vasco,Norte,Norte
